"자치구코드","법정동코드","법정동명"
"11170","12100",용문동
"11170","12200",문배동
"11170","12300",신계동
"11170","12400",한강로1가
"11170","12500",한강로2가
"11170","12600",용산동3가
"11170","12700",용산동5가
"11170","12800",한강로3가
"11170","12900",이촌동
"11170","13000",이태원동
"11170","13100",한남동
"11170","13200",동빙고동
"11170","13300",서빙고동
"11170","13400",주성동
"11170","13500",용산동6가
"11170","13600",보광동
"11200","10100",상왕십리동
"11200","10200",하왕십리동
"11200","10300",홍익동
"11200","10400",도선동
"11200","10500",마장동
"11200","10600",사근동
"11200","10700",행당동
"11200","10800",응봉동
"11200","10900",금호동1가
"11200","11000",금호동2가
"11200","11100",금호동3가
"11200","11200",금호동4가
"11200","11300",옥수동
"11200","11400",성수동1가
"11200","11500",성수동2가
"11200","11800",송정동
"11200","12200",용답동
"11215","10100",중곡동
"11215","10200",능동
"11215","10300",구의동
"11215","10400",광장동
"11215","10500",자양동
"11215","10700",화양동
"11215","10900",군자동
"11230","10100",신설동
"11230","10200",용두동
"11230","10300",제기동
"11230","10400",전농동
"11230","10500",답십리동
"11230","10600",장안동
"11230","10700",청량리동
"11230","10800",회기동
"11230","10900",휘경동
"11230","11000",이문동
"11260","10100",면목동
"11260","10200",상봉동
"11260","10300",중화동
"11260","10400",묵동
"11260","10500",망우동
"11260","10600",신내동
"11290","10100",성북동
"11290","10200",성북동1가
"11290","10300",돈암동
"11290","10400",동소문동1가
"11290","10500",동소문동2가
"11290","10600",동소문동3가
"11290","10700",동소문동4가
"11290","10800",동소문동5가
"11290","10900",동소문동6가
"11290","11000",동소문동7가
"11290","11100",삼선동1가
"11290","11200",삼선동2가
"11290","11300",삼선동3가
"11290","11400",삼선동4가
"11290","11500",삼선동5가
"11290","11600",동선동1가
"11290","11700",동선동2가
"11290","11800",동선동3가
"11290","11900",동선동4가
"11290","12000",동선동5가
"11290","12100",안암동1가
"11290","12200",안암동2가
"11290","12300",안암동3가
"11290","12400",안암동4가
"11290","12500",안암동5가
"11290","12600",보문동4가
"11290","12700",보문동5가
"11290","12800",보문동6가
"11290","12900",보문동7가
"11290","13000",보문동1가
"11290","13100",보문동2가
"11290","13200",보문동3가
"11290","13300",정릉동
"11290","13400",길음동
"11290","13500",종암동
"11290","13600",하월곡동
"11290","13700",상월곡동
"11290","13800",장위동
"11290","13900",석관동
"11305","10100",미아동
"11305","10200",번동
"11305","10300",수유동
"11305","10400",우이동
"11320","10500",쌍문동
"11320","10600",방학동
"11320","10700",창동
"11320","10800",도봉동
"11350","10200",월계동
"11350","10300",공릉동
"11350","10400",하계동
"11350","10500",상계동
"11350","10600",중계동
"11380","10100",수색동
"11380","10200",녹번동
"11380","10300",불광동
"11380","10400",갈현동
"11380","10500",구산동
"11380","10600",대조동
"11380","10700",응암동
"11380","10800",역촌동
"11380","10900",신사동
"11380","11000",증산동
"11380","11400",진관동
"11410","10100",충정로2가
"11410","10200",충정로3가
"11410","10300",합동
"11410","10400",미근동
"11410","10500",냉천동
"11410","10600",천연동
"11410","10700",옥천동
"11410","10800",영천동
"11410","10900",현저동
"11410","11000",북아현동
"11410","11100",홍제동
"11410","11200",대현동
"11410","11300",대신동
"11410","11400",신촌동
"11410","11500",봉원동
"11410","11600",창천동
"11410","11700",연희동
"11410","11800",홍은동
"11410","11900",북가좌동
"11410","12000",남가좌동
"11440","10100",아현동
"11440","10200",공덕동
"11440","10300",신공덕동
"11440","10400",도화동
"11440","10500",용강동
"11440","10600",토정동
"11440","10700",마포동
"11440","10800",대흥동
"11440","10900",염리동
"11440","11000",노고산동
"11440","11100",신수동
"11440","11200",현석동
"11440","11300",구수동
"11440","11400",창전동
"11440","11500",상수동
"11440","11600",하중동
"11440","11700",신정동
"11440","11800",당인동
"11440","12000",서교동
"11440","12100",동교동
"11440","12200",합정동
"11440","12300",망원동
"11440","12400",연남동
"11440","12500",성산동
"11440","12600",중동
"11440","12700",상암동
"11470","10100",신정동
"11470","10200",목동
"11470","10300",신월동
"11500","10100",염창동
"11500","10200",등촌동
"11500","10300",화곡동
"11500","10400",가양동
"11500","10500",마곡동
"11500","10600",내발산동
"11500","10700",외발산동
"11500","10800",공항동
"11500","10900",방화동
"11500","11000",개화동
"11500","11100",과해동
"11500","11200",오곡동
"11500","11300",오쇠동
"11530","10100",신도림동
"11530","10200",구로동
"11530","10300",가리봉동
"11530","10600",고척동
"11530","10700",개봉동
"11530","10800",오류동
"11530","10900",궁동
"11530","11000",온수동
"11530","11100",천왕동
"11530","11200",항동
"11545","10100",가산동
"11545","10200",독산동
"11545","10300",시흥동
"11560","10100",영등포동
"11560","10200",영등포동1가
"11560","10300",영등포동2가
"11560","10400",영등포동3가
"11560","10500",영등포동4가
"11560","10600",영등포동5가
"11560","10700",영등포동6가
"11560","10800",영등포동7가
"11560","10900",영등포동8가
"11560","11000",여의도동
"11560","11100",당산동1가
"11560","11200",당산동2가
"11560","11300",당산동3가
"11560","11400",당산동4가
"11560","11500",당산동5가
"11560","11600",당산동6가
"11560","11700",당산동
"11560","11800",도림동
"11560","11900",문래동1가
"11560","12000",문래동2가
"11560","12100",문래동3가
"11560","12200",문래동4가
"11560","12300",문래동5가
"11560","12400",문래동6가
"11560","12500",양평동1가
"11560","12600",양평동2가
"11560","12700",양평동3가
"11560","12800",양평동4가
"11560","12900",양평동5가
"11560","13000",양평동6가
"11560","13100",양화동
"11560","13200",신길동
"11560","13300",대림동
"11560","13400",양평동
"11590","10100",노량진동
"11590","10200",상도동
"11590","10300",상도1동
"11590","10400",본동
"11590","10500",흑석동
"11590","10600",동작동
"11590","10700",사당동
"11590","10800",대방동
"11590","10900",신대방동
"11620","10100",봉천동
"11620","10200",신림동
"11620","10300",남현동
"11650","10100",방배동
"11650","10200",양재동
"11650","10300",우면동
"11650","10400",원지동
"11650","10600",잠원동
"11650","10700",반포동
"11650","10800",서초동
"11650","10900",내곡동
"11650","11000",염곡동
"11650","11100",신원동
"11680","10100",역삼동
"11680","10300",개포동
"11680","10400",청담동
"11680","10500",삼성동
"11680","10600",대치동
"11680","10700",신사동
"11680","10800",논현동
"11680","11000",압구정동
"11680","11100",세곡동
"11680","11200",자곡동
"11680","11300",율현동
"11680","11400",일원동
"11680","11500",수서동
"11680","11800",도곡동
"11710","10100",잠실동
"11710","10200",신천동
"11710","10300",풍납동
"11710","10400",송파동
"11710","10500",석촌동
"11710","10600",삼전동
"11710","10700",가락동
"11710","10800",문정동
"11710","10900",장지동
"11710","11100",방이동
"11710","11200",오금동
"11710","11300",거여동
"11710","11400",마천동
"11740","10100",명일동
"11740","10200",고덕동
"11740","10300",상일동
"11740","10500",길동
"11740","10600",둔촌동
"11740","10700",암사동
"11740","10800",성내동
"11740","10900",천호동
"11740","11000",강일동
